player_name,Nationality,Preferred Foot,Date of Birth,appearances_,sub_appearances,XA,pass_attempts,pass_accuracy,long_pass_attempts,long_pass_accuracy,Minutes Played,Duels Won,Total Tackles,Interceptions,Blocks,Red Cards,Yellow Cards,XG,Touches in the Opposition Box,Aerial Duels Won,Assists,Shots On Target Inside the Box,cross_attempts,cross_accuracy,dribble_attempts,dribble_accuracy,Fouls,Goals,Hit Woodwork,Offsides,Shots On Target Outside the Box,Corners Taken,Appearances,free_kick_attempts,free_kicks_scored,Passes,Own Goals,Penalties Taken,Goals Conceded,Clean Sheets,Saves Made,Penalties Faced,penalty_attempts,penalties_scored,penalties_saved,penalty_save_precentage,player_image_url,player_country,player_club,player_position,player_stats_url,Age
Kristoffer Ajer,Norway,Right,1998-04-17,24,7,0.5,558,78,45,44,1441,66,26,12,4,0,5,0.96,39,28,0,7,14,29,15,47,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/191866.png,Norway,Brentford,Defender,https://www.premierleague.com/en/players/191866/kristoffer-ajer/stats,27
Romeo Akachukwu,Ireland,Right,2006-07-28,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Ireland,Southampton,Midfielder,https://www.premierleague.com/en/players/587645/romeo-akachukwu/stats,19
Manuel Akanji,Switzerland,Right,1995-07-19,26,3,1.28,1722,94,84,68,2014,60,19,9,8,0,3,1.55,19,31,0,0,11,27,0,0,17,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/211975.png,Switzerland,Manchester City,Defender,https://www.premierleague.com/en/players/211975/manuel-akanji/stats,30
Yunus Akgün,Turkey,Left,2000-07-07,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Turkey,Leicester City,Forward,https://www.premierleague.com/en/players/438346/yunus-akgun/stats,25
Matai Akinmboni,United States,Left,2006-10-17,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,United States,Bournemouth,Defender,https://www.premierleague.com/en/players/541462/matai-akinmboni/stats,18
Nathan Aké,Netherlands,Left,1995-02-18,10,2,0.17,532,94,26,46,682,23,9,3,2,0,0,0.22,5,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/126184.png,Netherlands,Manchester City,Defender,https://www.premierleague.com/en/players/126184/nathan-ake/stats,30
Ali Al-Hamadi,Iraq,Right,2002-03-01,11,11,0.05,30,83,0,0,125,13,1,0,0,0,3,0.35,11,5,0,0,0,0,7,57,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/462387.png,Iraq,Ipswich Town,Forward,https://www.premierleague.com/en/players/462387/ali-al-hamadi/stats,23
Marc Albrighton,England,Right,1989-11-18,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/51938.png,England,Leicester City,Midfielder,https://www.premierleague.com/en/players/51938/marc-albrighton/stats,35
Carlos Alcaraz,Argentina,Right,2002-11-30,16,9,0.03,271,83,24,67,770,47,11,6,2,0,4,0.07,22,15,3,0,8,50,18,50,14,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/502697.png,Argentina,Everton,Midfielder,https://www.premierleague.com/en/players/502697/carlos-alcaraz/stats,22
Thiago Alcântara,Spain,Right,1991-04-11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/61558.png,Spain,Liverpool,Midfielder,https://www.premierleague.com/en/players/61558/thiago-alcantara/stats,34
Trent Alexander-Arnold,England,Right,1998-10-07,33,5,7.37,1616,78,299,42,2377,101,72,31,9,0,5,1.88,50,3,6,9,93,25,34,50,11,3,3,1,14,55,0,3,3,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/169187.png,England,Liverpool,Defender,https://www.premierleague.com/en/players/169187/trent-alexander-arnold/stats,26
Farid Alfa-Ruprecht,Germany,Right,2006-03-28,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Germany,Manchester City,Forward,https://www.premierleague.com/en/players/589371/farid-alfa-ruprecht/stats,19
Sonny Aljofree,England,Right,2004-12-19,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Manchester United,Defender,https://www.premierleague.com/en/players/547675/sonny-aljofree/stats,20
Max Alleyne,England,Both,2005-07-21,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Manchester City,Defender,https://www.premierleague.com/en/players/494307/max-alleyne/stats,20
Dele Alli,England,Right,1996-04-11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/108823.png,England,Everton,Midfielder,https://www.premierleague.com/en/players/108823/dele-alli/stats,29
Miguel Almirón,Paraguay,Both,1994-02-10,9,8,0.2,64,83,2,50,151,7,3,0,0,0,0,0.52,9,0,0,3,0,0,2,50,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/179018.png,Paraguay,Newcastle United,Midfielder,https://www.premierleague.com/en/players/179018/miguel-almiron/stats,31
Sone Aluko,Nigeria,Right,1989-02-19,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/27503.png,Nigeria,Ipswich Town,Forward,https://www.premierleague.com/en/players/27503/sone-aluko/stats,36
Olabade Aluko,England,Right,2006-11-30,1,1,0.0,5,60,0,0,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Leicester City,Defender,https://www.premierleague.com/en/players/619146/olabade-aluko/stats,18
Will Alves,England,Right,2005-05-04,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/532534.png,England,Leicester City,Midfielder,https://www.premierleague.com/en/players/532534/will-alves/stats,20
Carlos Vinícius,Brazil,Left,1995-03-25,3,3,0.0,3,33,0,0,13,3,0,0,0,0,0,0.04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/245824.png,Brazil,Fulham,Forward,https://www.premierleague.com/en/players/245824/carlos-vinicius/stats,30
Cédric Soares,Portugal,Right,1991-08-31,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/58822.png,Portugal,Arsenal,Defender,https://www.premierleague.com/en/players/58822/cedric-soares/stats,34
Steven Alzate,Colombia,Right,1998-09-08,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/235382.png,Colombia,Brighton and Hove Albion,Midfielder,https://www.premierleague.com/en/players/235382/steven-alzate/stats,26
Harry Amass,England,Left,2007-03-16,5,1,0.07,143,87,0,0,346,20,6,2,1,0,0,0.07,5,7,0,0,0,0,7,43,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/577974.png,England,Manchester United,Defender,https://www.premierleague.com/en/players/577974/harry-amass/stats,18
Samuel Amissah,England,Both,2007-03-07,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Fulham,Defender,https://www.premierleague.com/en/players/591385/samuel-amissah/stats,18
Sam Amo-Ameyaw,England,Left,2006-07-18,2,2,0.13,0,0,0,0,26,3,1,0,0,0,1,0.02,2,0,0,0,2,50,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/499724.png,England,Southampton,Midfielder,https://www.premierleague.com/en/players/499724/sam-amo-ameyaw/stats,19
Mathis Amougou,France,Right,2006-01-18,1,1,0.0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,France,Chelsea,Midfielder,https://www.premierleague.com/en/players/609640/mathis-amougou/stats,19
Ato Ampah,England,Right,2006-04-22,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Chelsea,Forward,https://www.premierleague.com/en/players/555853/ato-ampah/stats,19
Sofyan Amrabat,Morocco,Right,1996-08-21,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/172912.png,Morocco,Manchester United,Midfielder,https://www.premierleague.com/en/players/172912/sofyan-amrabat/stats,29
Joseph Anang,England,Right,2000-06-08,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/447879.png,England,West Ham United,Goalkeeper,https://www.premierleague.com/en/players/447879/joseph-anang/stats,25
Joachim Andersen,Denmark,Right,1996-05-31,0,0,0.52,2054,83,444,47,2663,123,28,34,28,1,7,1.02,22,76,0,9,13,23,5,80,20,0,0,0,2,1,30,0,0,0,1,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/174874.png,Denmark,Fulham,Defender,https://www.premierleague.com/en/players/174874/joachim-andersen/stats,29
Elliot Anderson,England,Right,2002-11-06,37,4,3.63,1289,82,106,42,2742,242,92,31,9,0,10,2.11,80,57,6,15,35,6,66,55,49,2,0,4,10,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/215379.png,England,Nottingham Forest,Midfielder,https://www.premierleague.com/en/players/215379/elliot-anderson/stats,22
Vincent Angelini,Scotland,Right,2003-09-12,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Scotland,Brentford,Goalkeeper,https://www.premierleague.com/en/players/563883/vincent-angelini/stats,21
Tino Anjorin,England,Right,2001-11-23,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/223332.png,England,Chelsea,Midfielder,https://www.premierleague.com/en/players/223332/tino-anjorin/stats,23
Aarón Anselmino,Argentina,Right,2005-04-29,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Argentina,Chelsea,Defender,https://www.premierleague.com/en/players/622758/aaron-anselmino/stats,20
Jaidon Anthony,England,Right,1999-12-01,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/444180.png,England,Bournemouth,Forward,https://www.premierleague.com/en/players/444180/jaidon-anthony/stats,25
Michail Antonio,Jamaica,Right,1990-03-28,14,3,0.93,154,71,22,77,844,35,2,0,0,0,1,2.22,37,17,1,8,25,8,22,41,12,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/57531.png,Jamaica,West Ham United,Forward,https://www.premierleague.com/en/players/57531/michail-antonio/stats,35
Genesis Antwi,Sweden,Right,2007-05-11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Sweden,Chelsea,Defender,https://www.premierleague.com/en/players/591382/genesis-antwi/stats,18
Joelinton,Brazil,Right,1996-08-14,0,0,2.33,1010,84,31,52,2404,166,57,23,7,0,10,3.95,86,59,3,19,16,19,43,35,58,4,0,7,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/180974.png,Brazil,Newcastle United,Midfielder,https://www.premierleague.com/en/players/180974/joelinton/stats,29
Julián Araujo,Mexico,Right,2001-08-13,12,5,0.1,191,82,19,32,497,15,10,6,0,0,2,0.0,2,3,0,0,9,22,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/436893.png,Mexico,Bournemouth,Defender,https://www.premierleague.com/en/players/436893/julian-araujo/stats,24
Cameron Archer,England,Right,2001-12-09,35,22,0.73,247,83,6,50,1432,50,13,2,1,0,0,5.72,57,9,0,16,0,0,35,43,16,2,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/433979.png,England,Southampton,Forward,https://www.premierleague.com/en/players/433979/cameron-archer/stats,23
Alphonse Areola,France,Right,1993-02-27,26,1,0.0,865,66,438,37,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,82,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/84182.png,France,West Ham United,Goalkeeper,https://www.premierleague.com/en/players/84182/alphonse-areola/stats,32
Joe Aribo,Nigeria,Left,1996-07-21,32,11,1.25,1031,90,31,52,2018,121,47,20,11,0,1,2.7,46,26,0,8,10,20,43,49,20,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/193204.png,Nigeria,Southampton,Midfielder,https://www.premierleague.com/en/players/193204/joe-aribo/stats,29
Adam Armstrong,England,Right,1997-02-10,20,5,0.57,269,84,10,40,1252,28,12,3,1,0,4,3.28,52,5,2,12,14,21,14,43,12,2,1,9,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/155511.png,England,Southampton,Forward,https://www.premierleague.com/en/players/155511/adam-armstrong/stats,28
Harrison Armstrong,England,Right,2007-01-19,3,3,0.0,13,54,4,25,47,3,0,0,0,0,1,0.37,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Everton,Midfielder,https://www.premierleague.com/en/players/609873/harrison-armstrong/stats,18
Stuart Armstrong,Scotland,Right,1992-03-30,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/91047.png,Scotland,Southampton,Midfielder,https://www.premierleague.com/en/players/91047/stuart-armstrong/stats,33
Kepa,Spain,Right,1994-10-03,0,0,0.0,901,70,436,40,0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,31,0,0,0,0,0,39,8,97,4,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/109745.png,Spain,Bournemouth,Goalkeeper,https://www.premierleague.com/en/players/109745/kepa/stats,30
Benjamin Arthur,England,Right,2005-10-09,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Brentford,Defender,https://www.premierleague.com/en/players/622536/benjamin-arthur/stats,19
Marco Asensio,Spain,Left,1996-01-21,13,4,1.16,272,86,10,50,745,27,7,2,1,0,2,4.43,30,0,1,8,19,16,17,71,11,3,1,2,5,23,0,1,1,0,0,2,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Spain,Aston Villa,Forward,https://www.premierleague.com/en/players/174292/marco-asensio/stats,29
Harrison Ashby,Scotland,Right,2001-11-14,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/441024.png,Scotland,Newcastle United,Defender,https://www.premierleague.com/en/players/441024/harrison-ashby/stats,23
